open_time,open,high,low,close
2026-04-20 00:00:00+00:00,2263.28,2283.14,2259.67,2280.01
2026-04-20 01:00:00+00:00,2280.02,2294.3,2278.2,2286.17
2026-04-20 02:00:00+00:00,2286.16,2287.63,2272.25,2277.43
2026-04-20 03:00:00+00:00,2277.43,2288.58,2276.08,2286.56
2026-04-20 04:00:00+00:00,2286.55,2286.55,2278.84,2283.39
2026-04-20 05:00:00+00:00,2283.39,2283.39,2263.18,2270.21
2026-04-20 06:00:00+00:00,2270.21,2289.0,2268.78,2286.17
2026-04-20 07:00:00+00:00,2286.17,2332.88,2283.02,2298.8
2026-04-20 08:00:00+00:00,2298.81,2308.65,2289.82,2294.09
2026-04-20 09:00:00+00:00,2294.08,2313.64,2293.3,2309.06
2026-04-20 10:00:00+00:00,2309.06,2320.0,2303.23,2303.39
2026-04-20 11:00:00+00:00,2303.39,2312.33,2300.0,2308.42
2026-04-20 12:00:00+00:00,2308.42,2323.02,2304.46,2318.88
2026-04-20 13:00:00+00:00,2318.88,2326.36,2301.53,2310.82
2026-04-20 14:00:00+00:00,2310.82,2321.98,2283.0,2290.9
2026-04-20 15:00:00+00:00,2290.91,2319.0,2278.38,2313.91
2026-04-20 16:00:00+00:00,2313.92,2315.01,2298.76,2300.07
2026-04-20 17:00:00+00:00,2300.07,2322.4,2297.97,2317.06
2026-04-20 18:00:00+00:00,2317.06,2344.19,2317.06,2334.23
2026-04-20 19:00:00+00:00,2334.24,2336.43,2327.27,2331.78
2026-04-20 20:00:00+00:00,2331.78,2340.15,2325.33,2337.59
2026-04-20 21:00:00+00:00,2337.58,2346.78,2315.21,2321.65
2026-04-20 22:00:00+00:00,2321.64,2328.52,2316.75,2319.4
2026-04-20 23:00:00+00:00,2319.4,2319.4,2307.74,2313.85
2026-04-21 00:00:00+00:00,2313.84,2324.7,2311.66,2321.94
2026-04-21 01:00:00+00:00,2321.94,2326.64,2312.66,2315.16
2026-04-21 02:00:00+00:00,2315.16,2315.72,2306.45,2308.34
2026-04-21 03:00:00+00:00,2308.34,2312.9,2300.01,2311.62
2026-04-21 04:00:00+00:00,2311.62,2315.87,2304.06,2314.59
2026-04-21 05:00:00+00:00,2314.59,2320.69,2312.65,2314.07
2026-04-21 06:00:00+00:00,2314.07,2327.05,2308.01,2317.36
2026-04-21 07:00:00+00:00,2317.37,2324.98,2311.56,2318.48
2026-04-21 08:00:00+00:00,2318.48,2338.75,2314.0,2323.43
2026-04-21 09:00:00+00:00,2323.42,2327.65,2318.37,2325.69
