open_time,open,high,low,close
2026-04-20 00:00:00+00:00,73801.8,74360.43,73724.31,74280.01
2026-04-20 01:00:00+00:00,74280.01,74746.93,74214.67,74595.13
2026-04-20 02:00:00+00:00,74595.12,74627.99,74304.84,74410.01
2026-04-20 03:00:00+00:00,74410.01,74640.65,74359.04,74634.0
2026-04-20 04:00:00+00:00,74634.01,74637.43,74435.19,74567.64
2026-04-20 05:00:00+00:00,74567.63,74567.63,74095.18,74264.15
2026-04-20 06:00:00+00:00,74264.16,74894.11,74250.0,74786.59
2026-04-20 07:00:00+00:00,74786.59,75572.0,74670.86,74837.17
2026-04-20 08:00:00+00:00,74837.18,74998.83,74619.41,74728.91
2026-04-20 09:00:00+00:00,74728.92,75233.0,74706.87,75062.77
2026-04-20 10:00:00+00:00,75062.77,75404.63,75003.63,75027.26
2026-04-20 11:00:00+00:00,75027.26,75287.88,74957.51,75192.71
2026-04-20 12:00:00+00:00,75192.72,75650.0,75043.86,75289.9
2026-04-20 13:00:00+00:00,75289.91,75434.41,74859.11,75269.38
2026-04-20 14:00:00+00:00,75269.37,75766.74,74921.42,75034.79
2026-04-20 15:00:00+00:00,75034.79,75772.72,74702.0,75716.77
2026-04-20 16:00:00+00:00,75716.78,75723.99,75299.26,75338.74
2026-04-20 17:00:00+00:00,75338.75,75991.47,75289.92,75898.14
2026-04-20 18:00:00+00:00,75898.14,76453.19,75898.14,76423.69
2026-04-20 19:00:00+00:00,76423.69,76486.67,76154.49,76296.96
2026-04-20 20:00:00+00:00,76296.97,76558.62,76113.07,76276.17
2026-04-20 21:00:00+00:00,76276.18,76357.2,75784.05,75954.71
2026-04-20 22:00:00+00:00,75954.72,76143.71,75904.39,75974.24
2026-04-20 23:00:00+00:00,75974.24,75974.24,75617.6,75840.97
2026-04-21 00:00:00+00:00,75840.97,76099.19,75700.0,76092.45
2026-04-21 01:00:00+00:00,76092.46,76263.4,75866.01,75927.59
2026-04-21 02:00:00+00:00,75927.58,75932.7,75580.0,75581.33
2026-04-21 03:00:00+00:00,75581.33,75721.12,75474.77,75710.3
2026-04-21 04:00:00+00:00,75710.31,75823.49,75600.0,75813.81
2026-04-21 05:00:00+00:00,75813.8,75981.1,75782.75,75802.0
2026-04-21 06:00:00+00:00,75802.0,76129.95,75703.85,75974.11
2026-04-21 07:00:00+00:00,75974.12,76300.0,75814.26,76084.34
2026-04-21 08:00:00+00:00,76084.34,76927.57,76063.98,76507.21
2026-04-21 09:00:00+00:00,76507.21,76587.82,76155.0,76362.77
2026-04-21 10:00:00+00:00,76362.78,76866.55,76349.59,76746.41
2026-04-21 11:00:00+00:00,76746.41,76750.68,76342.0,76452.94
2026-04-21 12:00:00+00:00,76452.94,76528.11,75709.03,76009.46
2026-04-21 13:00:00+00:00,76009.46,76179.75,75736.33,75899.98
2026-04-21 14:00:00+00:00,75899.98,76595.3,75625.28,75675.05
2026-04-21 15:00:00+00:00,75675.04,75979.78,75430.62,75834.65
2026-04-21 16:00:00+00:00,75834.66,76190.72,75760.0,75781.18
2026-04-21 17:00:00+00:00,75781.19,75912.98,75052.64,75545.62
2026-04-21 18:00:00+00:00,75545.62,75668.24,75310.88,75610.21
2026-04-21 19:00:00+00:00,75610.21,75919.5,74821.57,75023.43
2026-04-21 20:00:00+00:00,75023.43,75859.56,74967.58,75698.51
2026-04-21 21:00:00+00:00,75698.51,75777.38,75431.62,75549.99
2026-04-21 22:00:00+00:00,75549.99,75650.04,75302.01,75650.04
2026-04-21 23:00:00+00:00,75650.03,76425.37,75622.0,76336.15
2026-04-22 00:00:00+00:00,76336.14,76500.0,76220.4,76370.45
2026-04-22 01:00:00+00:00,76370.46,76416.24,76132.95,76297.99
2026-04-22 02:00:00+00:00,76297.99,77645.35,76223.9,77604.71
2026-04-22 03:00:00+00:00,77604.7,77733.11,77397.88,77521.48
2026-04-22 04:00:00+00:00,77521.47,77700.0,77364.25,77523.0
2026-04-22 05:00:00+00:00,77523.01,78452.18,77450.0,77994.93
2026-04-22 06:00:00+00:00,77994.92,78042.84,77900.0,78010.72
2026-04-22 07:00:00+00:00,78010.73,78111.0,77825.0,78012.79
2026-04-22 08:00:00+00:00,78012.78,78219.41,77941.59,78010.92
2026-04-22 09:00:00+00:00,78010.92,78184.7,77956.76,78001.95
2026-04-22 10:00:00+00:00,78001.96,78180.0,77951.17,78157.41
2026-04-22 11:00:00+00:00,78157.41,78399.0,78102.0,78300.0
2026-04-22 12:00:00+00:00,78300.0,78508.18,78114.04,78236.05
2026-04-22 13:00:00+00:00,78236.05,78850.0,78162.64,78840.94
2026-04-22 14:00:00+00:00,78840.94,79174.68,78577.86,79045.75
2026-04-22 15:00:00+00:00,79045.75,79400.0,78837.66,79272.9
2026-04-22 16:00:00+00:00,79272.91,79472.82,78632.37,78743.59
2026-04-22 17:00:00+00:00,78743.6,79034.73,78705.71,78900.0
2026-04-22 18:00:00+00:00,78900.01,79163.66,78828.76,79022.39
2026-04-22 19:00:00+00:00,79022.4,79067.6,78706.81,78846.62
2026-04-22 20:00:00+00:00,78846.62,78915.84,78410.0,78436.68
2026-04-22 21:00:00+00:00,78436.69,78821.86,78425.0,78762.69
2026-04-22 22:00:00+00:00,78762.68,78824.0,78456.15,78607.95
2026-04-22 23:00:00+00:00,78607.95,78607.95,78155.83,78178.23
2026-04-23 00:00:00+00:00,78178.22,78574.44,77582.17,78424.29
2026-04-23 01:00:00+00:00,78424.3,78472.95,78057.5,78359.23
2026-04-23 02:00:00+00:00,78359.71,78359.72,77761.2,77939.92
2026-04-23 03:00:00+00:00,77939.91,78025.99,77453.43,77746.46
2026-04-23 04:00:00+00:00,77746.47,77949.09,77675.8,77920.09
2026-04-23 05:00:00+00:00,77920.09,78110.01,77750.0,78033.87
2026-04-23 06:00:00+00:00,78034.0,78339.35,78034.0,78211.43
2026-04-23 07:00:00+00:00,78211.43,78248.39,77981.88,78048.62
2026-04-23 08:00:00+00:00,78048.61,78175.52,77714.86,77858.35
2026-04-23 09:00:00+00:00,77858.34,77860.8,77440.85,77655.34
2026-04-23 10:00:00+00:00,77655.35,77709.16,77174.01,77403.63
2026-04-23 11:00:00+00:00,77403.63,77757.31,77365.57,77704.62
2026-04-23 12:00:00+00:00,77704.61,77870.54,77491.18,77870.53
2026-04-23 13:00:00+00:00,77870.54,77904.37,77379.92,77532.23
2026-04-23 14:00:00+00:00,77532.23,78201.53,77414.0,78180.77
2026-04-23 15:00:00+00:00,78180.78,78662.5,77983.25,78376.76
2026-04-23 16:00:00+00:00,78376.77,78509.82,78030.0,78103.72
2026-04-23 17:00:00+00:00,78103.72,78184.85,76960.0,77769.21
2026-04-23 18:00:00+00:00,77769.2,78146.75,77678.65,77678.65
2026-04-23 19:00:00+00:00,77678.65,77886.88,77592.92,77727.26
2026-04-23 20:00:00+00:00,77727.25,78050.0,77637.5,77886.97
2026-04-23 21:00:00+00:00,77886.97,78070.0,77800.0,77864.83
2026-04-23 22:00:00+00:00,77864.84,78331.0,77864.83,78235.3
2026-04-23 23:00:00+00:00,78235.29,78298.01,78030.0,78257.48
2026-04-24 00:00:00+00:00,78257.48,78490.83,78172.01,78417.22
2026-04-24 01:00:00+00:00,78417.22,78450.0,77952.16,78429.73
2026-04-24 02:00:00+00:00,78429.73,78581.93,78067.17,78125.65
2026-04-24 03:00:00+00:00,78125.65,78178.4,77555.0,77737.85
2026-04-24 04:00:00+00:00,77737.84,77854.57,77482.49,77670.0
2026-04-24 05:00:00+00:00,77670.01,78057.65,77457.0,77953.48
2026-04-24 06:00:00+00:00,77953.48,77979.54,77761.2,77789.75
2026-04-24 07:00:00+00:00,77789.75,77855.67,77543.52,77644.6
2026-04-24 08:00:00+00:00,77644.59,78000.0,77550.73,77785.71
2026-04-24 09:00:00+00:00,77785.7,77804.23,77402.01,77527.69
2026-04-24 10:00:00+00:00,77527.7,77784.0,77444.95,77752.36
2026-04-24 11:00:00+00:00,77752.37,78372.58,77752.37,78240.26
2026-04-24 12:00:00+00:00,78240.27,78345.15,78016.51,78275.66
2026-04-24 13:00:00+00:00,78275.65,78479.37,77913.27,78093.79
2026-04-24 14:00:00+00:00,78093.8,78093.8,77681.74,78037.64
2026-04-24 15:00:00+00:00,78037.65,78233.18,77577.22,78038.62
2026-04-24 16:00:00+00:00,78038.63,78060.29,77586.86,77777.28
2026-04-24 17:00:00+00:00,77776.76,77829.17,77489.6,77681.71
2026-04-24 18:00:00+00:00,77681.72,77717.08,77363.63,77618.24
2026-04-24 19:00:00+00:00,77618.25,77748.66,77532.46,77628.85
2026-04-24 20:00:00+00:00,77628.84,77757.14,77458.0,77718.31
2026-04-24 21:00:00+00:00,77718.31,77756.15,77536.48,77536.48
2026-04-24 22:00:00+00:00,77536.49,77616.78,77264.08,77328.91
2026-04-24 23:00:00+00:00,77328.92,77456.87,77328.92,77437.13
2026-04-25 00:00:00+00:00,77437.13,77502.99,77309.92,77456.88
2026-04-25 01:00:00+00:00,77456.88,77620.52,77440.8,77541.63
2026-04-25 02:00:00+00:00,77541.63,77644.04,77504.43,77607.8
2026-04-25 03:00:00+00:00,77607.8,77711.87,77550.27,77679.07
2026-04-25 04:00:00+00:00,77679.08,77691.23,77596.37,77619.05
2026-04-25 05:00:00+00:00,77619.05,77619.05,77485.51,77510.28
2026-04-25 06:00:00+00:00,77510.27,77582.28,77489.35,77503.63
